At timestep 40:-0.000006 -0.000089 -0.000006 0.000015 -0.000002 -0.000008 -0.000001; -0.000249 0.000073 -0.000280 -1.570717 -0.000351 1.570988 0.785159; -0.003993 0.001195 -0.004264 0.001365 -0.006869 0.005639 -0.001625
At timestep 41:0.000013 -0.000204 0.000013 0.000033 -0.000002 -0.000019 -0.000001; -0.000264 0.000071 -0.000277 -1.570709 -0.000354 1.570994 0.785160; -0.007951 -0.000128 -0.004514 0.003509 -0.008431 0.004869 -0.000896
At timestep 42:0.000007 -0.000174 0.000007 0.000026 -0.000002 -0.000016 -0.000001; -0.000274 0.000071 -0.000284 -1.570707 -0.000361 1.570997 0.785163; -0.006680 -0.000084 -0.005251 0.002339 -0.006095 0.003206 0.000348
At timestep 43:0.000006 -0.000143 0.000006 0.000020 -0.000001 -0.000013 -0.000000; -0.000280 0.000069 -0.000286 -1.570704 -0.000370 1.570998 0.785159; -0.007099 -0.000054 -0.003859 0.002487 -0.003656 0.002361 -0.001017
At timestep 44:-0.000001 -0.000131 -0.000001 0.000020 -0.000001 -0.000012 -0.000000; -0.000285 0.000068 -0.000289 -1.570709 -0.000380 1.571001 0.785162; -0.004460 -0.000035 -0.005986 -0.000105 -0.006737 0.001369 0.000284
At timestep 45:-0.000015 -0.000301 -0.000015 0.000044 -0.000002 -0.000028 -0.000001; -0.000294 0.000071 -0.000298 -1.570709 -0.000392 1.571003 0.785159; -0.006530 0.000905 -0.009341 -0.000070 -0.010087 0.001411 -0.001047
At timestep 46:-0.000007 -0.000300 -0.000007 0.000047 -0.000002 -0.000028 -0.000001; -0.000306 0.000071 -0.000296 -1.570703 -0.000401 1.571005 0.785162; -0.009757 0.000604 -0.005907 0.001717 -0.011803 0.001374 0.000273
At timestep 47:0.000010 -0.000391 0.000010 0.000061 -0.000001 -0.000037 -0.000001; -0.000313 0.000068 -0.000298 -1.570706 -0.000416 1.571005 0.785160; -0.010341 -0.000525 -0.007509 0.000216 -0.013724 0.000987 -0.000335
At timestep 48:0.000000 -0.000397 0.000000 0.000063 -0.000001 -0.000037 -0.000001; -0.000316 0.000070 -0.000301 -1.570709 -0.000427 1.571004 0.785164; -0.009151 -0.000349 -0.008766 -0.000691 -0.014392 0.000372 0.001024
At timestep 49:0.000007 -0.000277 0.000007 0.000052 -0.000002 -0.000025 -0.000002; -0.000321 0.000068 -0.000305 -1.570706 -0.000442 1.571006 0.785163; -0.006950 -0.000233 -0.007486 0.000375 -0.015616 0.004593 0.000407
At timestep 50:0.000005 -0.000149 0.000005 0.000036 -0.000000 -0.000012 -0.000001; -0.000330 0.000068 -0.000300 -1.570706 -0.000454 1.571004 0.785159; -0.006106 -0.000155 -0.003763 0.000250 -0.016203 0.003482 -0.001191
At timestep 51:-0.000000 -0.000151 0.000000 0.000028 -0.000001 -0.000014 -0.000001; -0.000333 0.000068 -0.000303 -1.570709 -0.000467 1.571006 0.785164; -0.006863 -0.000103 -0.003746 -0.000669 -0.012075 0.002636 0.000933
At timestep 52:0.000016 -0.000257 0.000016 0.000044 -0.000000 -0.000024 -0.000001; -0.000343 0.000065 -0.000297 -1.570707 -0.000480 1.571007 0.785157; -0.009995 -0.000904 -0.004188 -0.000446 -0.013852 0.001994 -0.001618
At timestep 53:0.000004 -0.000249 0.000004 0.000044 -0.000000 -0.000023 -0.000001; -0.000341 0.000065 -0.000303 -1.570708 -0.000490 1.571004 0.785162; -0.008797 -0.000602 -0.005044 -0.001132 -0.014431 0.000455 0.000649
At timestep 54:0.000005 -0.000226 0.000005 0.000043 -0.000000 -0.000021 -0.000001; -0.000350 0.000065 -0.000303 -1.570706 -0.000501 1.571005 0.785162; -0.009264 -0.000402 -0.003729 0.000080 -0.015305 0.000775 0.000194
At timestep 55:-0.000015 -0.000194 -0.000015 0.000038 -0.000001 -0.000017 -0.000001; -0.000347 0.000068 -0.000306 -1.570708 -0.000506 1.571008 0.785161; -0.008117 0.000568 -0.003689 -0.000782 -0.015291 0.001328 -0.000109
At timestep 56:-0.000007 -0.000189 -0.000007 0.000032 -0.000001 -0.000018 -0.000001; -0.000358 0.000068 -0.000308 -1.570706 -0.000515 1.571009 0.785162; -0.008719 0.000378 -0.003501 0.000314 -0.011451 0.001333 0.000164
At timestep 57:0.000014 -0.000066 0.000014 0.000011 0.000001 -0.000007 -0.000000; -0.000354 0.000062 -0.000310 -1.570706 -0.000522 1.571007 0.785156; -0.004581 -0.001511 -0.002489 0.000209 -0.007898 0.000233 -0.001620
At timestep 58:-0.000001 -0.000078 -0.000001 0.000015 -0.000000 -0.000007 -0.000000; -0.000356 0.000065 -0.000310 -1.570706 -0.000529 1.571007 0.785163; -0.003453 -0.000079 -0.004084 0.000140 -0.009456 0.000197 0.001123
At timestep 59:-0.000002 -0.000033 -0.000002 0.000007 -0.000000 -0.000003 -0.000000; -0.000357 0.000065 -0.000309 -1.570708 -0.000535 1.571008 0.785156; -0.002601 -0.000053 -0.002144 -0.000742 -0.006839 -0.000549 -0.001455
At timestep 60:-0.000001 -0.000078 -0.000001 0.000011 -0.000000 -0.000007 -0.000000; -0.000363 0.000065 -0.000319 -1.570708 -0.000539 1.571010 0.785162; -0.003722 -0.000035 -0.004382 -0.000495 -0.004876 -0.000003 0.000759
At timestep 61:-0.000015 -0.000046 -0.000015 0.000007 -0.000001 -0.000005 -0.000000; -0.000366 0.000070 -0.000317 -1.570708 -0.000545 1.571011 0.785159; -0.003578 0.001740 -0.002190 -0.000330 -0.007194 0.000389 -0.000240
At timestep 62:0.000000 -0.000007 0.000000 0.000002 0.000000 -0.000000 -0.000000; -0.000360 0.000065 -0.000317 -1.570706 -0.000551 1.571010 0.785159; -0.000748 -0.000603 -0.000772 0.000615 -0.005509 -0.000101 -0.000160
At timestep 63:-0.000001 -0.000002 -0.000001 0.000001 -0.000000 0.000000 -0.000000; -0.000360 0.000070 -0.000315 -1.570708 -0.000558 1.571010 0.785160; -0.000593 0.000433 0.001138 -0.000425 -0.003868 -0.000057 0.000130
At timestep 64:-0.000000 -0.000002 -0.000000 0.000001 -0.000000 0.000000 -0.000000; -0.000358 0.000066 -0.000318 -1.570711 -0.000572 1.571011 0.785160; 0.000461 -0.000547 0.000676 -0.001211 -0.003319 0.000342 0.000087
At timestep 65:-0.000003 -0.000005 -0.000003 0.000003 -0.000000 0.000000 -0.000000; -0.000358 0.000065 -0.000316 -1.570706 -0.000579 1.571012 0.785163; 0.000254 -0.000364 0.001317 0.000956 -0.005684 -0.000478 0.001041
At timestep 66:-0.000001 -0.000010 -0.000001 0.000007 -0.000000 0.000001 -0.000000; -0.000355 0.000068 -0.000321 -1.570708 -0.000594 1.571013 0.785162; 0.001800 0.000592 -0.000097 -0.000198 -0.009139 -0.000315 0.000219
At timestep 67:-0.000002 -0.000009 -0.000002 0.000008 0.000000 0.000001 -0.000000; -0.000355 0.000068 -0.000314 -1.570703 -0.000605 1.571015 0.785161; 0.001170 0.000395 -0.000548 0.001538 -0.010107 0.000133 -0.000091
At timestep 68:-0.000002 -0.000011 -0.000002 0.000009 0.000000 0.000002 -0.000000; -0.000352 0.000068 -0.000319 -1.570703 -0.000620 1.571018 0.785159; 0.002521 0.000263 -0.001581 0.000190 -0.010907 0.000091 -0.001790
At timestep 69:-0.000004 -0.000014 -0.000004 0.000012 0.000000 0.000002 -0.000000; -0.000353 0.000068 -0.000320 -1.570700 -0.000638 1.571019 0.785160; 0.001664 0.000175 -0.001270 0.000962 -0.012534 0.000062 -0.000210
At timestep 70:-0.000022 -0.000027 -0.000022 0.000012 -0.000001 0.000002 -0.000000; -0.000350 0.000060 -0.000317 -1.570700 -0.000657 1.571023 0.785161; 0.002860 -0.002481 0.000755 0.000641 -0.013662 0.000043 0.000606
